RAS Reach,HMS Contributing Element,HMS Contributing Element Name,HMS Reach,HMS to DSS syntax,Key Station Number,Additional Subbasins Junction Takes,Affected Station numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC31 - CC29,Subbasin,COON CREEK 31,CC31 - CC29,CC31 - CC29,19036.03,,19036.03,18885.81,18782.7*,18679.61,18578.8*,18478.03,18279.95,18094.05,17987.5*,17881.13,17690.35,17582.6*,17474.89,17276.64,17081.58,16976.8*,16872.1,16742.5*,16613.08,16503.73,16335.65,16285.18,16184.7*,16084.23,15975.9*,15867.58,15732.15,15617.8,15488.79,15384.8*,15281,15180.0*,15079.11,14911.73,14799.0*,14686.37,14488.84,14384.8*,14280.8,14096.93,13988.3*,13879.75,13777.1*,13674.52,13492.66,13296.32,13191.9*,13087.65,12890.83,12786.0*,12681.23,12579.3*,12477.43,12280.23,12089.69,11988.2*,11886.87,11778.1*,11669.46,11484.66,11377.9*,11271.26,11111.71,10998.8*,10885.94,10689.07,10584.7*,10480.38,10284.64,10172.3*,10059.97,9877.63,9763.05*,9648.47,9492.56,9391.44*,9290.31,9155.93*,9021.55,8909.34*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC31 - CC29,Subbasin,COON CREEK 29,CC29 - UCC A,CC29 - UCC A,8797.13,,8797.13,8625.88,8428.84*,8231.8,8120.12*,8008.43,7913.47,7764.11,7692,7582.31*,7472.61,7368.44*,7264.26,7081.44,6885.05,6690.81,6587.47*,6484.13,6380.97*,6277.8,6082.6,5886.76,5687.12,5580.78*,5474.43,5285.79*,5097.15,4960.96*,4824.77*,4688.58,4549.44*,4410.29*,4271.15,4077.42*,3883.68,3690.95*,3498.21,3381.53,3229.05,3150.16,2965.40*,2780.63,2586.07*,2391.51,2251.38*,2111.25*,1971.12,1774.47*,1577.82,1377.85*,1177.87,979.16* ,780.46* ,581.75,420.49* ,259.24* ,97.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC33 - UCC A,Subbasin,COON CREEK 33,CC33 - UCC A,CC33 - UCC A,7622.34,,7622.34,7487.06,7384.82*,7282.57,7180.05*,7077.52,6881.29,6684.45,6577.90*,6471.34,6279.85,6080.14,5886.39,5782.92*,5679.44,5486.19,5383.46*,5280.73,5176.11,5017.72,4881.93,4777.77*,4673.61,4481.46,4376.74*,4272.02,4086.18,3978.77*,3871.36,3673.52,3484.62,3294.99,3121.15,3001.56*,2881.97,2771.92*,2661.87,2477.92,2376.66*,2275.4,2079.59*,1883.77,1771.50*,1659.23,1475.26,1298.47,1195.10*,1091.73,980.38* ,869.03,743.31,565.47,485.13,381.36* ,277.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC A - B,Junction,CC33 & 29,UCC A - B,UCC A - B,19040.92,Upper Coon Creek A,19040.92,18920.6*,18800.28,18643.3*,18486.4*,18329.56,18166.1*,18002.7*,17839.38,17673.0*,17506.6*,17340.33,17177.4*,17014.4*,16851.53,16687.2*,16522.9*,16358.65,16195.9*,16033.2*,15870.48,15701.5*,15532.6*,15363.67,15199.3*,15035.0*,14870.75,14708.5*,14546.4*,14384.23,14221.4*,14058.7*,13896.02,13738.4*,13580.8*,13423.19,13276.3*,13129.5*,12982.67,12798.8*,12615.0*,12431.18,12262.8*,12094.5*,11926.24,11766.1*,11606.1*,11446.07,11248.5*,11050.9*,10853.3*,10655.8,10495.1*,10334.5*,10173.9*,10013.33,9840.43*,9667.52*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC A - B,Subbasin,Upper Coon Creek B,UCC B - C,UCC B - C,9494.62,,9494.62,9327.21*,9159.79*,8992.38,8797.62*,8602.85*,8408.09,8245.25*,8082.40*,7919.56,7750.20*,7580.85*,7411.49,7263.18*,7114.87*,6966.56,6804.56*,6642.56*,6480.56,6322.15*,6163.74*,6005.33,5839.70*,5674.08*,5508.45,5347.39*,5186.32*,5025.26,4850.14*,4675.01*,4499.89,4323.01*,4146.14*,3969.26,3809.70*,3650.13*,3490.57,3332.59,3146.71,3003.06,2829.22*,2655.37*,2481.53,2305.30*,2129.07*,1952.84,1764.78*,1576.71*,1388.65,1225.05*,1061.45*,897.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCC C - Junction,Subbasin,Upper Coon Creek C,UCC C - Junction,UCC C - JUNCTION,590.65,,590.65,419.76*,248.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC35 - Junction,Subbasin,COON CREEK 35,CC35 - Junction,CC35 - JUNCTION,4466.19,,4466.19,4361.88,4261.19*,4160.49,3969.34,3857.34*,3745.34,3573.94,3462.99*,3352.04,3251.89*,3151.73,2960.94,2762.67,2563.95,2372.42,2195.9,2079.71*,1963.52,1766.95,1666.77*,1566.59,1448.23*,1329.86,1191.63,1031.17,954.64,685.19,553.41,383.21* ,213.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junction - UCC D,Junction,CC35 & UCC C,Junction - UCC D,JUNCTION - UCC D,13430.16,,13430.16,13255.3*,13080.5*,12905.7,12737.9*,12570.1*,12402.4,12254.0*,12105.6*,11957.24,11781.7*,11606.2*,11430.74,11275.3*,11119.9*,10964.56,10795.5*,10626.5*,10457.59,10314.5*,10171.5*,10028.47,9873.73*,9719.00*,9564.26,9404.55*,9244.84*,9085.13,8948.01*,8810.90*,8673.78,8489.62*,8305.46*,8121.3,7965.30*,7809.29*,7653.29,7498.89*,7344.50*,7190.1,7027.10*,6864.09*,6701.09,6540.44*,6379.80*,6219.15,6062.77*,5906.38*,5750,5612.52*,5475.04*,5337.56,5113.39,4936.46*,4759.53,4596.49*,4433.45*,4270.41,4106.28*,3942.16*,3778.03,3629.00*,3479.96*,3330.93,3170.73*,3010.54*,2850.34,2677.26*,2504.19*,2331.11,2176.65*,2022.18*,1867.72,1687.93*,1508.14*,1328.36*,1148.57*,968.78,804.61* ,640.45* ,476.28,392.71,286.83,125.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC24 - Junction,Subbasin,COON CREEK 24,CC24 - Junction,CC24 - JUNCTION,4359.26,,4359.26,4253.44*,4147.62,3950.92,3849.88*,3748.83,3641.18*,3533.53,3433.17*,3332.81,3231.10*,3129.39,3026.08*,2922.76,2729.53,2546.44,2445.25*,2344.05,2243.01*,2141.97,2033.11*,1924.24,1816.07*,1707.9,1589.07*,1470.24,1329.54*,1188.84,1020.09*,851.34* ,682.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC23 - Junction,Subbasin,COON CREEK 23,CC23 - Junction,CC23 - JUNCTION,2641.32,,2641.32,2551.87,2354.02,2158.58,2057.82*,1957.06,1843.86*,1730.66,1595.59,1451.05,1335.53*,1220.01,1115.18*,1010.35,812.04,629.84,490.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
