Reach,River Sta,Profile,Q Total (cfs),W.S. Elev (ft)
UCC C - Junction,590.65,2 Yr 24 Hr,793.2,829.37
UCC C - Junction,590.65,5 Yr 24 Hr,1235.8,830.11
UCC C - Junction,590.65,10 Yr 24 Hr,1693.1,830.65
UCC C - Junction,590.65,25 Yr 24 Hr,2753.5,831.6
UCC C - Junction,590.65,50 Yr 24 Hr,3973.8,832.47
UCC C - Junction,590.65,100 Yr 24 Hr,5689.3,833.43
UCC C - Junction,590.65,200 Yr 24 Hr,7398.2,834.15
UCC C - Junction,590.65,500 Yr 24 Hr,10254.4,835.04
UCC C - Junction,419.76*,2 Yr 24 Hr,793.2,828.26
UCC C - Junction,419.76*,5 Yr 24 Hr,1235.8,828.95
UCC C - Junction,419.76*,10 Yr 24 Hr,1693.1,829.48
UCC C - Junction,419.76*,25 Yr 24 Hr,2753.5,830.41
UCC C - Junction,419.76*,50 Yr 24 Hr,3973.8,831.26
UCC C - Junction,419.76*,100 Yr 24 Hr,5689.3,832.09
UCC C - Junction,419.76*,200 Yr 24 Hr,7398.2,832.64
UCC C - Junction,419.76*,500 Yr 24 Hr,10254.4,833.35
UCC C - Junction,248.86,2 Yr 24 Hr,793.2,827.21
UCC C - Junction,248.86,5 Yr 24 Hr,1235.8,827.85
UCC C - Junction,248.86,10 Yr 24 Hr,1693.1,828.39
UCC C - Junction,248.86,25 Yr 24 Hr,2753.5,829.37
UCC C - Junction,248.86,50 Yr 24 Hr,3973.8,830.21
UCC C - Junction,248.86,100 Yr 24 Hr,5689.3,830.91
UCC C - Junction,248.86,200 Yr 24 Hr,7398.2,831.47
UCC C - Junction,248.86,500 Yr 24 Hr,10254.4,832.17
UCC A - B,19040.92,2 Yr 24 Hr,533.6,954.42
UCC A - B,19040.92,5 Yr 24 Hr,911.1,955.14
UCC A - B,19040.92,10 Yr 24 Hr,1220.9,955.59
UCC A - B,19040.92,25 Yr 24 Hr,1934.9,956.38
UCC A - B,19040.92,50 Yr 24 Hr,2724.2,957.03
UCC A - B,19040.92,100 Yr 24 Hr,3791.7,957.78
UCC A - B,19040.92,200 Yr 24 Hr,4733,958.32
UCC A - B,19040.92,500 Yr 24 Hr,6367.6,959.15
UCC A - B,18920.6*,2 Yr 24 Hr,533.6,953.6
UCC A - B,18920.6*,5 Yr 24 Hr,911.1,954.23
UCC A - B,18920.6*,10 Yr 24 Hr,1220.9,954.61
UCC A - B,18920.6*,25 Yr 24 Hr,1934.9,955.3
UCC A - B,18920.6*,50 Yr 24 Hr,2724.2,955.93
UCC A - B,18920.6*,100 Yr 24 Hr,3791.7,956.64
UCC A - B,18920.6*,200 Yr 24 Hr,4733,957.18
UCC A - B,18920.6*,500 Yr 24 Hr,6367.6,958
UCC A - B,18800.28,2 Yr 24 Hr,533.6,952.57
UCC A - B,18800.28,5 Yr 24 Hr,911.1,953.13
UCC A - B,18800.28,10 Yr 24 Hr,1220.9,953.49
UCC A - B,18800.28,25 Yr 24 Hr,1934.9,954.19
UCC A - B,18800.28,50 Yr 24 Hr,2724.2,954.83
UCC A - B,18800.28,100 Yr 24 Hr,3791.7,955.54
UCC A - B,18800.28,200 Yr 24 Hr,4733,956.08
UCC A - B,18800.28,500 Yr 24 Hr,6367.6,956.9
UCC A - B,18643.3*,2 Yr 24 Hr,533.6,951.16
UCC A - B,18643.3*,5 Yr 24 Hr,911.1,951.75
UCC A - B,18643.3*,10 Yr 24 Hr,1220.9,952.12
UCC A - B,18643.3*,25 Yr 24 Hr,1934.9,952.81
UCC A - B,18643.3*,50 Yr 24 Hr,2724.2,953.41
UCC A - B,18643.3*,100 Yr 24 Hr,3791.7,954.1
UCC A - B,18643.3*,200 Yr 24 Hr,4733,954.63
UCC A - B,18643.3*,500 Yr 24 Hr,6367.6,955.43
UCC A - B,18486.4*,2 Yr 24 Hr,533.6,949.67
UCC A - B,18486.4*,5 Yr 24 Hr,911.1,950.2
UCC A - B,18486.4*,10 Yr 24 Hr,1220.9,950.55
UCC A - B,18486.4*,25 Yr 24 Hr,1934.9,951.2
UCC A - B,18486.4*,50 Yr 24 Hr,2724.2,951.8
UCC A - B,18486.4*,100 Yr 24 Hr,3791.7,952.48
UCC A - B,18486.4*,200 Yr 24 Hr,4733,953.01
UCC A - B,18486.4*,500 Yr 24 Hr,6367.6,953.78
UCC A - B,18329.56,2 Yr 24 Hr,533.6,948.1
UCC A - B,18329.56,5 Yr 24 Hr,911.1,948.6
UCC A - B,18329.56,10 Yr 24 Hr,1220.9,948.95
UCC A - B,18329.56,25 Yr 24 Hr,1934.9,949.62
UCC A - B,18329.56,50 Yr 24 Hr,2724.2,950.25
UCC A - B,18329.56,100 Yr 24 Hr,3791.7,950.96
UCC A - B,18329.56,200 Yr 24 Hr,4733,951.53
UCC A - B,18329.56,500 Yr 24 Hr,6367.6,952.26
UCC A - B,18166.1*,2 Yr 24 Hr,533.6,946.47
UCC A - B,18166.1*,5 Yr 24 Hr,911.1,947.03
UCC A - B,18166.1*,10 Yr 24 Hr,1220.9,947.39
UCC A - B,18166.1*,25 Yr 24 Hr,1934.9,948.09
UCC A - B,18166.1*,50 Yr 24 Hr,2724.2,948.76
UCC A - B,18166.1*,100 Yr 24 Hr,3791.7,949.48
UCC A - B,18166.1*,200 Yr 24 Hr,4733,950.07
UCC A - B,18166.1*,500 Yr 24 Hr,6367.6,950.74
UCC A - B,18002.7*,2 Yr 24 Hr,533.6,944.71
UCC A - B,18002.7*,5 Yr 24 Hr,911.1,945.4
UCC A - B,18002.7*,10 Yr 24 Hr,1220.9,945.8
UCC A - B,18002.7*,25 Yr 24 Hr,1934.9,946.56
UCC A - B,18002.7*,50 Yr 24 Hr,2724.2,947.26
UCC A - B,18002.7*,100 Yr 24 Hr,3791.7,947.99
UCC A - B,18002.7*,200 Yr 24 Hr,4733,948.51
UCC A - B,18002.7*,500 Yr 24 Hr,6367.6,949.12
UCC A - B,17839.38,2 Yr 24 Hr,533.6,943.25
UCC A - B,17839.38,5 Yr 24 Hr,911.1,943.96
UCC A - B,17839.38,10 Yr 24 Hr,1220.9,944.38
UCC A - B,17839.38,25 Yr 24 Hr,1934.9,945.15
UCC A - B,17839.38,50 Yr 24 Hr,2724.2,945.87
UCC A - B,17839.38,100 Yr 24 Hr,3791.7,946.64
UCC A - B,17839.38,200 Yr 24 Hr,4733,947.06
UCC A - B,17839.38,500 Yr 24 Hr,6367.6,947.66
UCC A - B,17673.0*,2 Yr 24 Hr,533.6,942
UCC A - B,17673.0*,5 Yr 24 Hr,911.1,942.67
UCC A - B,17673.0*,10 Yr 24 Hr,1220.9,943.06
UCC A - B,17673.0*,25 Yr 24 Hr,1934.9,943.81
UCC A - B,17673.0*,50 Yr 24 Hr,2724.2,944.46
UCC A - B,17673.0*,100 Yr 24 Hr,3791.7,945.19
UCC A - B,17673.0*,200 Yr 24 Hr,4733,945.56
UCC A - B,17673.0*,500 Yr 24 Hr,6367.6,946.16
UCC A - B,17506.6*,2 Yr 24 Hr,533.6,940.59
UCC A - B,17506.6*,5 Yr 24 Hr,911.1,941.14
UCC A - B,17506.6*,10 Yr 24 Hr,1220.9,941.48
UCC A - B,17506.6*,25 Yr 24 Hr,1934.9,942.16
UCC A - B,17506.6*,50 Yr 24 Hr,2724.2,942.7
UCC A - B,17506.6*,100 Yr 24 Hr,3791.7,943.32
UCC A - B,17506.6*,200 Yr 24 Hr,4733,943.75
UCC A - B,17506.6*,500 Yr 24 Hr,6367.6,944.34
UCC A - B,17340.33,2 Yr 24 Hr,533.6,939.26
UCC A - B,17340.33,5 Yr 24 Hr,911.1,939.76
UCC A - B,17340.33,10 Yr 24 Hr,1220.9,940.08
UCC A - B,17340.33,25 Yr 24 Hr,1934.9,940.67
UCC A - B,17340.33,50 Yr 24 Hr,2724.2,941.18
UCC A - B,17340.33,100 Yr 24 Hr,3791.7,941.73
UCC A - B,17340.33,200 Yr 24 Hr,4733,942.16
UCC A - B,17340.33,500 Yr 24 Hr,6367.6,942.71
UCC A - B,17177.4*,2 Yr 24 Hr,533.6,938.23
UCC A - B,17177.4*,5 Yr 24 Hr,911.1,938.66
UCC A - B,17177.4*,10 Yr 24 Hr,1220.9,938.94
UCC A - B,17177.4*,25 Yr 24 Hr,1934.9,939.38
UCC A - B,17177.4*,50 Yr 24 Hr,2724.2,939.81
UCC A - B,17177.4*,100 Yr 24 Hr,3791.7,940.23
UCC A - B,17177.4*,200 Yr 24 Hr,4733,940.55
UCC A - B,17177.4*,500 Yr 24 Hr,6367.6,941.01
UCC A - B,17014.4*,2 Yr 24 Hr,533.6,935.77
UCC A - B,17014.4*,5 Yr 24 Hr,911.1,936.11
UCC A - B,17014.4*,10 Yr 24 Hr,1220.9,936.35
UCC A - B,17014.4*,25 Yr 24 Hr,1934.9,936.81
UCC A - B,17014.4*,50 Yr 24 Hr,2724.2,937.26
UCC A - B,17014.4*,100 Yr 24 Hr,3791.7,937.79
UCC A - B,17014.4*,200 Yr 24 Hr,4733,938.19
UCC A - B,17014.4*,500 Yr 24 Hr,6367.6,938.81
UCC A - B,16851.53,2 Yr 24 Hr,533.6,934.81
UCC A - B,16851.53,5 Yr 24 Hr,911.1,935.23
UCC A - B,16851.53,10 Yr 24 Hr,1220.9,935.5
UCC A - B,16851.53,25 Yr 24 Hr,1934.9,936.03
UCC A - B,16851.53,50 Yr 24 Hr,2724.2,936.51
UCC A - B,16851.53,100 Yr 24 Hr,3791.7,937.06
UCC A - B,16851.53,200 Yr 24 Hr,4733,937.48
UCC A - B,16851.53,500 Yr 24 Hr,6367.6,938.12
UCC A - B,16687.2*,2 Yr 24 Hr,533.6,934.37
UCC A - B,16687.2*,5 Yr 24 Hr,911.1,934.8
UCC A - B,16687.2*,10 Yr 24 Hr,1220.9,935.07
UCC A - B,16687.2*,25 Yr 24 Hr,1934.9,935.59
UCC A - B,16687.2*,50 Yr 24 Hr,2724.2,936.06
UCC A - B,16687.2*,100 Yr 24 Hr,3791.7,936.58
UCC A - B,16687.2*,200 Yr 24 Hr,4733,936.99
UCC A - B,16687.2*,500 Yr 24 Hr,6367.6,937.6
UCC A - B,16522.9*,2 Yr 24 Hr,533.6,933.78
UCC A - B,16522.9*,5 Yr 24 Hr,911.1,934.22
UCC A - B,16522.9*,10 Yr 24 Hr,1220.9,934.48
UCC A - B,16522.9*,25 Yr 24 Hr,1934.9,934.97
UCC A - B,16522.9*,50 Yr 24 Hr,2724.2,935.4
UCC A - B,16522.9*,100 Yr 24 Hr,3791.7,935.89
UCC A - B,16522.9*,200 Yr 24 Hr,4733,936.26
