Reach,River Sta,Profile,Q Total (cfs),W.S. Elev (ft)
WFK I - Junction,2179.29,2 Yr 24 Hr,45.8,779
WFK I - Junction,2179.29,5 Yr 24 Hr,81.9,779.17
WFK I - Junction,2179.29,10 Yr 24 Hr,122.5,779.32
WFK I - Junction,2179.29,25 Yr 24 Hr,193.8,779.55
WFK I - Junction,2179.29,50 Yr 24 Hr,259.2,779.72
WFK I - Junction,2179.29,100 Yr 24 Hr,339.1,779.89
WFK I - Junction,2179.29,200 Yr 24 Hr,430,780.07
WFK I - Junction,2179.29,500 Yr 24 Hr,562.9,780.25
WFK I - Junction,2080.21,2 Yr 24 Hr,45.8,777.84
WFK I - Junction,2080.21,5 Yr 24 Hr,81.9,778.09
WFK I - Junction,2080.21,10 Yr 24 Hr,122.5,778.26
WFK I - Junction,2080.21,25 Yr 24 Hr,193.8,778.47
WFK I - Junction,2080.21,50 Yr 24 Hr,259.2,778.62
WFK I - Junction,2080.21,100 Yr 24 Hr,339.1,778.77
WFK I - Junction,2080.21,200 Yr 24 Hr,430,778.91
WFK I - Junction,2080.21,500 Yr 24 Hr,562.9,779.08
WFK I - Junction,1981.12*,2 Yr 24 Hr,45.8,777.29
WFK I - Junction,1981.12*,5 Yr 24 Hr,81.9,777.49
WFK I - Junction,1981.12*,10 Yr 24 Hr,122.5,777.64
WFK I - Junction,1981.12*,25 Yr 24 Hr,193.8,777.83
WFK I - Junction,1981.12*,50 Yr 24 Hr,259.2,777.97
WFK I - Junction,1981.12*,100 Yr 24 Hr,339.1,778.1
WFK I - Junction,1981.12*,200 Yr 24 Hr,430,778.22
WFK I - Junction,1981.12*,500 Yr 24 Hr,562.9,778.37
WFK I - Junction,1882.04*,2 Yr 24 Hr,45.8,776.48
WFK I - Junction,1882.04*,5 Yr 24 Hr,81.9,776.64
WFK I - Junction,1882.04*,10 Yr 24 Hr,122.5,776.77
WFK I - Junction,1882.04*,25 Yr 24 Hr,193.8,776.93
WFK I - Junction,1882.04*,50 Yr 24 Hr,259.2,777.04
WFK I - Junction,1882.04*,100 Yr 24 Hr,339.1,777.16
WFK I - Junction,1882.04*,200 Yr 24 Hr,430,777.27
WFK I - Junction,1882.04*,500 Yr 24 Hr,562.9,777.42
WFK I - Junction,1782.95*,2 Yr 24 Hr,45.8,775.11
WFK I - Junction,1782.95*,5 Yr 24 Hr,81.9,775.21
WFK I - Junction,1782.95*,10 Yr 24 Hr,122.5,775.29
WFK I - Junction,1782.95*,25 Yr 24 Hr,193.8,775.41
WFK I - Junction,1782.95*,50 Yr 24 Hr,259.2,775.51
WFK I - Junction,1782.95*,100 Yr 24 Hr,339.1,775.58
WFK I - Junction,1782.95*,200 Yr 24 Hr,430,775.66
WFK I - Junction,1782.95*,500 Yr 24 Hr,562.9,775.75
WFK I - Junction,1683.87,2 Yr 24 Hr,45.8,773.35
WFK I - Junction,1683.87,5 Yr 24 Hr,81.9,773.52
WFK I - Junction,1683.87,10 Yr 24 Hr,122.5,773.66
WFK I - Junction,1683.87,25 Yr 24 Hr,193.8,773.78
WFK I - Junction,1683.87,50 Yr 24 Hr,259.2,773.9
WFK I - Junction,1683.87,100 Yr 24 Hr,339.1,774.03
WFK I - Junction,1683.87,200 Yr 24 Hr,430,774.15
WFK I - Junction,1683.87,500 Yr 24 Hr,562.9,774.3
WFK I - Junction,1584.78,2 Yr 24 Hr,45.8,772.94
WFK I - Junction,1584.78,5 Yr 24 Hr,81.9,772.94
WFK I - Junction,1584.78,10 Yr 24 Hr,122.5,772.97
WFK I - Junction,1584.78,25 Yr 24 Hr,193.8,773.06
WFK I - Junction,1584.78,50 Yr 24 Hr,259.2,773.12
WFK I - Junction,1584.78,100 Yr 24 Hr,339.1,773.18
WFK I - Junction,1584.78,200 Yr 24 Hr,430,773.24
WFK I - Junction,1584.78,500 Yr 24 Hr,562.9,773.33
WFK F - Junction,3737.3,2 Yr 24 Hr,108.6,818.85
WFK F - Junction,3737.3,5 Yr 24 Hr,190.9,819.11
WFK F - Junction,3737.3,10 Yr 24 Hr,287,819.37
WFK F - Junction,3737.3,25 Yr 24 Hr,456,819.74
WFK F - Junction,3737.3,50 Yr 24 Hr,612.7,820.03
WFK F - Junction,3737.3,100 Yr 24 Hr,801.9,820.32
WFK F - Junction,3737.3,200 Yr 24 Hr,1020,820.61
WFK F - Junction,3737.3,500 Yr 24 Hr,1337.3,820.97
WFK F - Junction,3641.90*,2 Yr 24 Hr,108.6,817.78
WFK F - Junction,3641.90*,5 Yr 24 Hr,190.9,818.08
WFK F - Junction,3641.90*,10 Yr 24 Hr,287,818.37
WFK F - Junction,3641.90*,25 Yr 24 Hr,456,818.76
WFK F - Junction,3641.90*,50 Yr 24 Hr,612.7,819.05
WFK F - Junction,3641.90*,100 Yr 24 Hr,801.9,819.35
WFK F - Junction,3641.90*,200 Yr 24 Hr,1020,819.65
WFK F - Junction,3641.90*,500 Yr 24 Hr,1337.3,820.03
WFK F - Junction,3546.49*,2 Yr 24 Hr,108.6,816.67
WFK F - Junction,3546.49*,5 Yr 24 Hr,190.9,816.98
WFK F - Junction,3546.49*,10 Yr 24 Hr,287,817.27
WFK F - Junction,3546.49*,25 Yr 24 Hr,456,817.66
WFK F - Junction,3546.49*,50 Yr 24 Hr,612.7,817.95
WFK F - Junction,3546.49*,100 Yr 24 Hr,801.9,818.25
WFK F - Junction,3546.49*,200 Yr 24 Hr,1020,818.55
WFK F - Junction,3546.49*,500 Yr 24 Hr,1337.3,818.97
WFK F - Junction,3451.09*,2 Yr 24 Hr,108.6,815.56
WFK F - Junction,3451.09*,5 Yr 24 Hr,190.9,815.88
WFK F - Junction,3451.09*,10 Yr 24 Hr,287,816.16
WFK F - Junction,3451.09*,25 Yr 24 Hr,456,816.54
WFK F - Junction,3451.09*,50 Yr 24 Hr,612.7,816.82
WFK F - Junction,3451.09*,100 Yr 24 Hr,801.9,817.13
WFK F - Junction,3451.09*,200 Yr 24 Hr,1020,817.43
WFK F - Junction,3451.09*,500 Yr 24 Hr,1337.3,817.88
WFK F - Junction,3355.68*,2 Yr 24 Hr,108.6,814.43
WFK F - Junction,3355.68*,5 Yr 24 Hr,190.9,814.74
WFK F - Junction,3355.68*,10 Yr 24 Hr,287,815.01
WFK F - Junction,3355.68*,25 Yr 24 Hr,456,815.39
WFK F - Junction,3355.68*,50 Yr 24 Hr,612.7,815.68
WFK F - Junction,3355.68*,100 Yr 24 Hr,801.9,815.99
WFK F - Junction,3355.68*,200 Yr 24 Hr,1020,816.3
WFK F - Junction,3355.68*,500 Yr 24 Hr,1337.3,816.79
WFK F - Junction,3260.28*,2 Yr 24 Hr,108.6,813.34
WFK F - Junction,3260.28*,5 Yr 24 Hr,190.9,813.62
WFK F - Junction,3260.28*,10 Yr 24 Hr,287,813.87
WFK F - Junction,3260.28*,25 Yr 24 Hr,456,814.24
WFK F - Junction,3260.28*,50 Yr 24 Hr,612.7,814.53
WFK F - Junction,3260.28*,100 Yr 24 Hr,801.9,814.84
WFK F - Junction,3260.28*,200 Yr 24 Hr,1020,815.17
WFK F - Junction,3260.28*,500 Yr 24 Hr,1337.3,815.66
WFK F - Junction,3164.87*,2 Yr 24 Hr,108.6,812.11
WFK F - Junction,3164.87*,5 Yr 24 Hr,190.9,812.39
WFK F - Junction,3164.87*,10 Yr 24 Hr,287,812.66
WFK F - Junction,3164.87*,25 Yr 24 Hr,456,813.06
WFK F - Junction,3164.87*,50 Yr 24 Hr,612.7,813.38
WFK F - Junction,3164.87*,100 Yr 24 Hr,801.9,813.72
WFK F - Junction,3164.87*,200 Yr 24 Hr,1020,814.08
WFK F - Junction,3164.87*,500 Yr 24 Hr,1337.3,814.48
WFK F - Junction,3069.47,2 Yr 24 Hr,108.6,811.08
WFK F - Junction,3069.47,5 Yr 24 Hr,190.9,811.39
WFK F - Junction,3069.47,10 Yr 24 Hr,287,811.68
WFK F - Junction,3069.47,25 Yr 24 Hr,456,812.11
WFK F - Junction,3069.47,50 Yr 24 Hr,612.7,812.45
WFK F - Junction,3069.47,100 Yr 24 Hr,801.9,812.8
WFK F - Junction,3069.47,200 Yr 24 Hr,1020,813.23
WFK F - Junction,3069.47,500 Yr 24 Hr,1337.3,813.6
WFK F - Junction,2970.86*,2 Yr 24 Hr,108.6,810.25
WFK F - Junction,2970.86*,5 Yr 24 Hr,190.9,810.56
WFK F - Junction,2970.86*,10 Yr 24 Hr,287,810.86
WFK F - Junction,2970.86*,25 Yr 24 Hr,456,811.3
WFK F - Junction,2970.86*,50 Yr 24 Hr,612.7,811.63
WFK F - Junction,2970.86*,100 Yr 24 Hr,801.9,811.99
WFK F - Junction,2970.86*,200 Yr 24 Hr,1020,812.45
WFK F - Junction,2970.86*,500 Yr 24 Hr,1337.3,812.8
WFK F - Junction,2872.25*,2 Yr 24 Hr,108.6,809.41
WFK F - Junction,2872.25*,5 Yr 24 Hr,190.9,809.73
WFK F - Junction,2872.25*,10 Yr 24 Hr,287,810.04
